@,B,D,$,E,F,&,G,I,L,M,N,O,Q,U,V,Y,~,
DE0009751750,0.00|0.00|0.00,7.28.08,50.84,,EUR,2,1.000000,166.133,|[Privatgiro],REFER* 0000021572354  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.300000,50.84,7.28.08,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,8.28.08,50.78,,EUR,2,1.000000,160.064,|[Privatgiro],REFER* 0000021835029  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.311000,50.78,8.28.08,UBS (D) Equity Fund - Mid Caps Germany,975175,
US5949181045,,9.11.08,4.61,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG MICROSOFT    D,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,4.61,9.11.08,Microsoft,870747,
DE0009751750,0.00|0.00|0.00,9.29.08,48.30,,EUR,2,1.000000,147.508,|[Privatgiro],REFER* 0000022131624  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.95|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.321000,48.30,9.29.08,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,10.24.08,51.02,,EUR,2,1.000000,108.268,|[Privatgiro],REFER* 0000022720324  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.462000,51.02,10.24.08,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,,11.19.08,2.07,,EUR,2,1.000000,,|[Privatgiro],AUSSCH�TTUNG UBS D EQ.FD-MI,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,2.07,11.19.08,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,11.26.08,45.52,,EUR,2,1.000000,92.979,|[Privatgiro],REFER* 0000023141752  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.89|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.480000,45.52,11.26.08,UBS (D) Equity Fund - Mid Caps Germany,975175,
US5949181045,,12.11.08,5.99,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG MICROSOFT    D,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,5.99,12.11.08,Microsoft,870747,
DE0009751750,0.00|0.00|0.00,12.30.08,50.19,,EUR,2,1.000000,102.950,|[Privatgiro],REFER* 0000023566279  DE0009751750 UBS D EQ.FD-MI,Kauf,0.00|0.00|0.98|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.478000,50.19,12.30.08,UBS (D) Equity Fund - Mid Caps Germany,975175,
US5949181045,,3.12.09,6.07,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG MICROSOFT    D,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,6.07,3.12.09,Microsoft,870747,
LU0124427344,,4.21.09,0.89,,EUR,2,1.000000,,|[Privatgiro],AUSSCH�TTUNG DEKASTRUKTUR,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.89,4.21.09,DekaStruktur: 3 Wachstum,554002,
DE0005557508,,5.4.09,15.60,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG DT.TELEKOM,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,15.60,5.5.09,Deutsche Telekom AG Namens-Aktien o.N.,555750,
US5949181045,,6.18.09,5.55,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG MICROSOFT    D,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,5.55,6.18.09,Microsoft,870747,
US5949181045,,9.10.09,5.36,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG MICROSOFT    D,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,5.36,9.10.09,Microsoft,870747,
DE0009751750,,11.18.09,7.01,,EUR,2,1.000000,,|[Privatgiro],AUSSCH�TTUNG UBS D EQ.FD-MI,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,7.01,11.18.09,UBS (D) Equity Fund - Mid Caps Germany,975175,
US5949181045,0.00|0.00|0.00,11.27.09,"1,368.80",,EUR,1,1.000000,19.710,Kursgewinne:Realisierte Gewinne|[Privatgiro],REFER* 0000028535224  US5949181045 MICROSOFT    D,Verkauf,0.00|0.00|0.00|9.95|0.00|0.00|0.00|0.00|0.00|0.95|0.00|0.00,70.000000,"1,368.80",11.27.09,Microsoft,870747,
US5949181045,,12.10.09,5.21,,EUR,1,1.000000,,|[Privatgiro],SPARKASSEN BROKER 163235,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,5.21,12.10.09,Microsoft,870747,
