@,B,D,$,F,&,G,I,L,M,N,O,Q,U,V,Y,~,
IE0005258151,,3.19.01,,EUR,0,1.000000,53.667,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2.795000,150.00,3.19.01,Deka-PharmaTech TF,989094,
DE0008474503,,4.11.01,,EUR,2,1.000000,74.641,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.459000,34.26,4.11.01,DekaFonds CF,847450,
,,4.18.01,,EUR,0,1.000000,29.922,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.671000,50.00,4.18.01,Deka-Logistik TF,515275,
IE0005258151,,4.18.01,,EUR,0,1.000000,58.343,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.714000,100.00,4.18.01,Deka-PharmaTech TF,989094,
DE0007019317,,4.30.01,,EUR,2,1.000000,41.017,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.219000,50.00,4.30.01,Deka-Finanzwerte TF,701931,
DE0008474503,,5.14.01,,EUR,2,1.000000,76.133,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.450000,34.26,5.14.01,DekaFonds CF,847450,
,,5.18.01,,EUR,0,1.000000,36.311,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.377000,50.00,5.18.01,Deka-LifeStyle TF,515273,
DE0007019317,,5.18.01,,EUR,2,1.000000,41.563,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.203000,50.00,5.18.01,Deka-Finanzwerte TF,701931,
IE0005258151,,5.18.01,,EUR,0,1.000000,60.864,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.643000,100.00,5.18.01,Deka-PharmaTech TF,989094,
DE0008474503,,6.15.01,,EUR,2,1.000000,76.133,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.450000,34.26,6.15.01,DekaFonds CF,847450,
,,6.18.01,,EUR,0,1.000000,30.713,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.628000,50.00,6.18.01,Deka-Logistik TF,515275,
DE0007019317,,6.18.01,,EUR,2,1.000000,40.883,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.223000,50.00,6.18.01,Deka-Finanzwerte TF,701931,
IE0005258151,,6.18.01,,EUR,0,1.000000,61.087,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.637000,100.00,6.18.01,Deka-PharmaTech TF,989094,
DE0005152714,,6.19.01,,EUR,2,1.000000,38.250,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8.282000,316.79,6.19.01,Deka-XTENSION TF,515271,
DE0009786285,,6.19.01,,EUR,2,1.000000,69.350,,,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,4.568000,,6.19.01,Deka-EuropaPotential TF,978628,
DE0008474503,,7.12.01,,EUR,2,1.000000,73.996,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.463000,34.26,7.12.01,DekaFonds CF,847450,
,,7.18.01,,EUR,0,1.000000,34.965,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.430000,50.00,7.18.01,Deka-LifeStyle TF,515273,
DE0007019317,,7.18.01,,EUR,2,1.000000,40.258,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.242000,50.00,7.18.01,Deka-Finanzwerte TF,701931,
IE0005258151,,7.18.01,,EUR,0,1.000000,58.617,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.706000,100.00,7.18.01,Deka-PharmaTech TF,989094,
DE0008474503,,8.14.01,,EUR,2,1.000000,71.079,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.482000,34.26,8.14.01,DekaFonds CF,847450,
,,8.20.01,,EUR,0,1.000000,28.313,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.766000,50.00,8.20.01,Deka-Logistik TF,515275,
DE0007019317,,8.20.01,,EUR,2,1.000000,38.314,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.305000,50.00,8.20.01,Deka-Finanzwerte TF,701931,
IE0005258151,,8.20.01,,EUR,0,1.000000,55.463,Kapitalertr�ge:sonstige Einnahme|,,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.048000,2.66,8.20.01,Deka-PharmaTech TF,989094,
IE0005258151,,8.20.01,,EUR,0,1.000000,55.463,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.803000,100.00,8.20.01,Deka-PharmaTech TF,989094,
DE0005152714,,8.22.01,,EUR,2,1.000000,33.991,,,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8.282000,,8.22.01,Deka-XTENSION TF,515271,
,,8.22.01,,EUR,0,1.000000,31.340,,,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,6.823000,,8.22.01,Deka-LifeStyle TF,515273,
,,8.22.01,,EUR,0,1.000000,28.370,,,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,10.826000,,8.22.01,Deka-Logistik TF,515275,
DE0008474503,,9.13.01,,EUR,2,1.000000,57.100,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.600000,34.26,9.13.01,DekaFonds CF,847450,
DE0007019317,,9.18.01,,EUR,2,1.000000,32.744,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.527000,50.00,9.18.01,Deka-Finanzwerte TF,701931,
IE0005258151,,9.18.01,,EUR,0,1.000000,53.706,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.862000,100.00,9.18.01,Deka-PharmaTech TF,989094,
DE0008474503,,10.12.01,,EUR,2,1.000000,60.530,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.566000,34.26,10.12.01,DekaFonds CF,847450,
DE0007019317,,10.18.01,,EUR,2,1.000000,34.771,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.438000,50.00,10.18.01,Deka-Finanzwerte TF,701931,
IE0005258151,,10.18.01,,EUR,0,1.000000,56.915,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.757000,100.00,10.18.01,Deka-PharmaTech TF,989094,
DE0008474503,,11.14.01,,EUR,2,1.000000,65.507,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.523000,34.26,11.14.01,DekaFonds CF,847450,
DE0007019317,,11.19.01,,EUR,2,1.000000,37.092,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.348000,50.00,11.19.01,Deka-Finanzwerte TF,701931,
IE0005258151,,11.19.01,,EUR,0,1.000000,57.670,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.734000,100.00,11.19.01,Deka-PharmaTech TF,989094,
DE0008474503,,12.13.01,,EUR,2,1.000000,66.012,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.519000,34.26,12.13.01,DekaFonds CF,847450,
DE0007019317,,12.18.01,,EUR,2,1.000000,36.023,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.388000,50.00,12.18.01,Deka-Finanzwerte TF,701931,
IE0005258151,,12.18.01,,EUR,0,1.000000,55.218,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.811000,100.00,12.18.01,Deka-PharmaTech TF,989094,
DE0008474503,,1.14.02,,EUR,2,1.000000,67.441,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.508000,34.26,1.14.02,DekaFonds CF,847450,
DE0007019317,,1.18.02,,EUR,2,1.000000,37.120,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.347000,50.00,1.18.02,Deka-Finanzwerte TF,701931,
IE0005258151,,1.18.02,,EUR,0,1.000000,56.180,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.780000,100.00,1.18.02,Deka-PharmaTech TF,989094,
DE0008474503,,2.14.02,,EUR,2,1.000000,64.886,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.528000,34.26,2.14.02,DekaFonds CF,847450,
DE0007019317,,2.18.02,,EUR,2,1.000000,35.791,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.397000,50.00,2.18.02,Deka-Finanzwerte TF,701931,
IE0005258151,,2.19.02,,EUR,0,1.000000,56.721,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.763000,100.00,2.19.02,Deka-PharmaTech TF,989094,
DE0008474503,,2.22.02,,EUR,2,1.000000,59.341,Kapitalertr�ge:sonstige Einnahme|,,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.516000,30.62,2.22.02,DekaFonds CF,847450,
DE0008474503,,3.14.02,,EUR,2,1.000000,67.045,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.511000,34.26,3.14.02,DekaFonds CF,847450,
DE0007019317,,3.18.02,,EUR,2,1.000000,38.256,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.307000,50.00,3.18.02,Deka-Finanzwerte TF,701931,
IE0005258151,,3.19.02,,EUR,0,1.000000,57.937,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.726000,100.00,3.19.02,Deka-PharmaTech TF,989094,
